,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
1056,2023-02-17,4077.38,4079.09,4081.51,4045480000.0,-0.03,0.0004193869592728753,0.8850734524508076,0.6942920103215418,0.7429860265119475,0.8077694800395208,-0.7832688545763589
1059,2023-02-16,4114.75,4090.4,4136.54,4143660000.0,-1.0899999999999999,-0.005917734977823661,0.806114428936029,0.8850734524508076,0.6942920103215418,0.7429860265119475,-0.23637851456077918
1067,2023-02-15,4119.5,4147.6,4148.1,4075980000.0,-0.56,0.006821216167010648,0.7876111731132158,0.806114428936029,0.8850734524508076,0.6942920103215418,-0.22229580502294688
1086,2023-02-14,4126.7,4136.12,4159.77,3929200000.0,-0.030000000000000013,0.0022826956163520666,0.7704034470545421,0.7876111731132158,0.806114428936029,0.8850734524508076,-0.5621752873631687
1100,2023-02-13,4096.62,4137.29,4138.89,3448620000.0,0.31000000000000005,0.009927696491253784,0.7085547221948105,0.7704034470545421,0.7876111731132158,0.806114428936029,0.38446401483176385
1106,2023-02-10,4068.91,4090.45,4094.36,3891520000.0,0.03,0.005293801042539639,0.7685541329999541,0.7085547221948105,0.7704034470545421,0.7876111731132158,-0.3620393515052944
1110,2023-02-09,4144.25,4081.5,4156.22,4270200000.0,-0.21000000000000002,-0.01514146106050552,0.7329935015931045,0.7685541329999541,0.7085547221948105,0.7704034470545421,1.913094785612531
1123,2023-02-08,4153.47,4117.85,4156.85,4029820000.0,-0.15,-0.008575961786169128,0.9574580219989482,0.7329935015931045,0.7685541329999541,0.7085547221948105,-0.09077715196799974
1136,2023-02-07,4105.35,4164.0,4176.54,4355860000.0,-0.009999999999999967,0.014286236252694564,0.956523543457719,0.9574580219989482,0.7329935015931045,0.7685541329999541,0.9823006305056603
1153,2023-02-06,4119.56,4111.08,4124.62,4114240000.0,-0.37,-0.002058472264028312,1.0570245351110796,0.956523543457719,0.9574580219989482,0.7329935015931045,-1.051216781287834
