,Date,Open,Close,High,Movement,aggregate_sentiment_score,lagged_sentiment_score
225,2022-08-15,4269.37,4297.14,4301.79,0,-0.19,-0.65
226,2022-08-12,4225.02,4280.14,4280.47,1,-0.65,-0.22999999999999998
227,2022-08-11,4227.39,4207.27,4257.91,1,-0.22999999999999998,0.08
228,2022-08-10,4181.02,4210.24,4211.02,1,0.08,-0.74
229,2022-08-09,4133.1,4122.47,4137.29,0,-0.74,0.0
230,2022-08-08,4155.93,4140.06,4186.62,1,0.0,1.24
231,2022-08-05,4115.87,4145.18,4151.58,0,1.24,1.58
232,2022-08-04,4154.85,4151.93,4161.29,0,1.58,0.5
233,2022-08-03,4107.95,4155.16,4167.66,1,0.5,-1.38
234,2022-08-02,4104.2,4091.18,4140.47,0,-1.38,-0.31000000000000005
235,2022-08-01,4112.37,4118.62,4144.95,0,-0.31000000000000005,-0.43000000000000005
236,2022-07-29,4087.33,4130.29,4140.14,1,-0.43000000000000005,0.59
237,2022-07-28,4026.12,4072.42,4078.94,1,0.59,0.46999999999999986
238,2022-07-27,3951.42,4023.61,4039.56,1,0.46999999999999986,-0.79
239,2022-07-26,3953.21,3921.05,3953.21,0,-0.79,-0.1
240,2022-07-25,3965.71,3966.84,3975.3,1,-0.1,-1.15
241,2022-07-22,3998.42,3961.62,4012.43,0,-1.15,-0.24
242,2022-07-21,3955.46,3998.94,3999.29,0,-0.24,0.71
243,2022-07-20,3935.32,3959.89,3974.12,0,0.71,0.12999999999999995
244,2022-07-19,3860.72,3936.68,3939.81,1,0.12999999999999995,0.38999999999999996
245,2022-07-18,3883.79,3830.85,3902.43,1,0.38999999999999996,0.57
246,2022-07-15,3818.0,3863.15,3863.62,1,0.57,-0.08
247,2022-07-14,3763.98,3790.37,3796.4,0,-0.08,0.21000000000000002
248,2022-07-13,3779.66,3801.78,3829.43,0,0.21000000000000002,-0.45999999999999996
249,2022-07-12,3851.94,3818.8,3873.4,0,-0.45999999999999996,-0.8200000000000001
250,2022-07-11,3880.93,3854.42,3880.93,0,-0.8200000000000001,0.93
251,2022-07-08,3888.26,3899.37,3918.5,0,0.93,0.63
252,2022-07-07,3858.85,3902.62,3910.62,1,0.63,-0.27999999999999997
253,2022-07-06,3831.97,3845.08,3870.9,1,-0.27999999999999997,-0.29
254,2022-07-05,3792.61,3831.38,3832.18,0,-0.29,-0.39
255,2022-07-01,3781.0,3825.33,3829.82,0,-0.39,-0.92
256,2022-06-30,3785.98,3785.37,3818.98,0,-0.92,-1.15
257,2022-06-29,3825.09,3818.83,3836.5,1,-1.15,-2.06
258,2022-06-28,3913.0,3821.55,3945.86,1,-2.06,-0.4
259,2022-06-27,3920.76,3900.11,3927.71,1,-0.4,0.11
260,2022-06-24,3821.75,3911.73,3913.64,1,0.11,-0.8400000000000001
261,2022-06-23,3774.7,3795.72,3802.58,1,-0.8400000000000001,-0.29
262,2022-06-22,3733.88,3759.88,3801.79,0,-0.29,0.67
263,2022-06-21,3715.31,3764.79,3779.64,1,0.67,-0.21
264,2022-06-17,3665.89,3674.84,3707.7,0,-0.21,-1.8900000000000001
265,2022-06-16,3728.17,3666.77,3728.17,0,-1.8900000000000001,0.14999999999999997
266,2022-06-15,3764.05,3789.98,3837.56,1,0.14999999999999997,0.02
267,2022-06-14,3763.52,3735.47,3778.17,1,0.02,-1.43
268,2022-06-13,3838.14,3749.62,3838.14,0,-1.43,-0.10999999999999999
269,2022-06-10,3974.38,3900.86,3974.38,0,-0.10999999999999999,0.45
270,2022-06-09,4101.64,4017.82,4119.1,0,0.45,-0.54
271,2022-06-08,4147.12,4115.77,4160.14,0,-0.54,0.26
272,2022-06-07,4096.47,4160.68,4164.85,0,0.26,0.8
273,2022-06-06,4134.72,4121.43,4168.77,1,0.8,0.16
274,2022-06-03,4137.56,4108.54,4142.66,0,0.16,-1.8499999999999999
275,2022-06-02,4095.4,4176.81,4177.5,0,-1.8499999999999999,-0.57
276,2022-06-01,4149.77,4101.22,4166.54,1,-0.57,-0.38
277,2022-05-31,4151.08,4132.14,4168.33,0,-0.38,1.6300000000000001
278,2022-05-27,4077.42,4158.24,4158.49,1,1.6300000000000001,1.0
279,2022-05-26,3984.6,4057.84,4075.13,1,1.0,-0.65
280,2022-05-25,3929.59,3978.72,3999.33,0,-0.65,-2.4
281,2022-05-24,3942.93,3941.47,3955.67,0,-2.4,0.27999999999999997
282,2022-05-23,3919.41,3973.75,3981.87,1,0.27999999999999997,-0.47
283,2022-05-20,3927.76,3901.36,3943.41,1,-0.47,-2.4000000000000004
284,2022-05-19,3899.0,3900.79,3945.95,0,-2.4000000000000004,-3.29
285,2022-05-18,4051.97,3923.67,4051.97,0,-3.29,1.09
286,2022-05-17,4052.0,4088.85,4090.71,1,1.09,-0.61
287,2022-05-16,4013.02,4008.01,4046.45,0,-0.61,-0.04999999999999999
288,2022-05-13,3963.89,4023.88,4038.87,1,-0.04999999999999999,-0.33999999999999997
289,2022-05-12,3903.94,3930.08,3964.8,0,-0.33999999999999997,-0.009999999999999998
290,2022-05-11,3990.08,3935.17,4049.09,0,-0.009999999999999998,-0.45
291,2022-05-10,4035.17,4001.05,4068.82,1,-0.45,-1.65
292,2022-05-09,4081.27,3991.23,4081.27,0,-1.65,-0.20999999999999996
293,2022-05-06,4128.16,4123.33,4157.68,0,-0.20999999999999996,-0.85
294,2022-05-05,4270.43,4146.87,4270.43,0,-0.85,1.3900000000000001
295,2022-05-04,4181.18,4300.16,4307.66,1,1.3900000000000001,-0.009999999999999966
296,2022-05-03,4159.77,4175.47,4200.1,1,-0.009999999999999966,-0.76
297,2022-05-02,4130.6,4155.37,4169.81,0,-0.76,-0.38
298,2022-04-29,4253.75,4131.93,4269.68,0,-0.38,0.93
299,2022-04-28,4222.58,4287.5,4308.45,1,0.93,0.09999999999999998
300,2022-04-27,4186.52,4183.95,4240.7,1,0.09999999999999998,0.29000000000000004
301,2022-04-26,4278.14,4175.2,4278.14,0,0.29000000000000004,-0.5
302,2022-04-25,4255.33,4296.12,4299.02,0,-0.5,-0.5800000000000001
303,2022-04-22,4385.83,4271.77,4385.83,0,-0.5800000000000001,0.029999999999999995
304,2022-04-21,4489.16,4393.66,4512.93,1,0.029999999999999995,-0.47000000000000003
305,2022-04-20,4472.25,4459.45,4488.29,1,-0.47000000000000003,0.16
306,2022-04-19,4390.62,4462.2,4471.02,0,0.16,-0.32
307,2022-04-18,4385.62,4391.68,4410.31,0,-0.32,0.6699999999999999
308,2022-04-14,4449.12,4392.58,4460.45,1,0.6699999999999999,-0.11
309,2022-04-13,4394.29,4446.58,4453.91,0,-0.11,-0.28
310,2022-04-12,4437.58,4397.45,4471.0,1,-0.28,-0.96
311,2022-04-11,4462.64,4412.52,4464.35,0,-0.96,0.0
312,2022-04-08,4494.14,4488.27,4520.41,0,0.0,0.6100000000000001
313,2022-04-07,4474.64,4500.2,4521.16,0,0.6100000000000001,-0.31999999999999995
314,2022-04-06,4494.16,4481.14,4503.93,0,-0.31999999999999995,1.3399999999999999
315,2022-04-05,4572.45,4525.12,4593.45,0,1.3399999999999999,0.44999999999999996
316,2022-04-04,4547.97,4582.64,4583.5,1,0.44999999999999996,0.28
317,2022-04-01,4540.31,4545.85,4548.7,1,0.28,-0.28
318,2022-03-31,4599.02,4530.41,4603.06,0,-0.28,-0.07999999999999996
319,2022-03-30,4624.2,4602.45,4627.77,0,-0.07999999999999996,0.52
320,2022-03-29,4602.85,4631.6,4637.29,1,0.52,-0.04
321,2022-03-28,4541.08,4575.52,4575.64,0,-0.04,-0.63
322,2022-03-25,4522.91,4543.06,4546.02,1,-0.63,0.96
323,2022-03-24,4469.97,4520.16,4520.58,1,0.96,-0.8999999999999999
324,2022-03-23,4493.1,4456.24,4501.06,0,-0.8999999999999999,0.55
325,2022-03-22,4469.1,4511.6,4522.0,1,0.55,0.04
326,2022-03-21,4462.39,4461.18,4481.75,0,0.04,1.3
327,2022-03-18,4407.33,4463.12,4465.39,0,1.3,0.16000000000000003
328,2022-03-17,4345.1,4411.66,4412.66,0,0.16000000000000003,0.27999999999999997
329,2022-03-16,4288.14,4357.85,4358.89,1,0.27999999999999997,-0.12000000000000002
330,2022-03-15,4188.81,4262.45,4271.04,1,-0.12000000000000002,-0.020000000000000004
331,2022-03-14,4202.75,4173.1,4247.56,0,-0.020000000000000004,0.44000000000000006
332,2022-03-11,4279.5,4204.31,4291.0,1,0.44000000000000006,-0.47
333,2022-03-10,4252.54,4259.52,4268.27,0,-0.47,0.06999999999999998
334,2022-03-09,4223.1,4277.87,4299.39,1,0.06999999999999998,-0.77
335,2022-03-08,4202.66,4170.7,4276.93,1,-0.77,-2.0
336,2022-03-07,4327.0,4201.08,4327.0,0,-2.0,-1.43
337,2022-03-04,4342.12,4328.87,4342.12,0,-1.43,-0.23999999999999996
338,2022-03-03,4401.31,4363.49,4416.77,1,-0.23999999999999996,-0.27
339,2022-03-02,4322.56,4386.54,4401.47,1,-0.27,-0.9900000000000001
340,2022-03-01,4363.14,4306.25,4378.45,0,-0.9900000000000001,-0.5900000000000001
341,2022-02-28,4354.16,4373.93,4388.83,0,-0.5900000000000001,-0.09999999999999998
342,2022-02-25,4298.37,4384.64,4385.33,1,-0.09999999999999998,-1.69
343,2022-02-24,4155.77,4288.7,4294.72,0,-1.69,-1.14
344,2022-02-23,4324.93,4225.5,4341.5,1,-1.14,-0.15
345,2022-02-22,4332.74,4304.75,4362.12,0,-0.15,-0.62
346,2022-02-18,4384.56,4348.87,4394.6,1,-0.62,0.27
347,2022-02-17,4456.06,4380.25,4456.06,0,0.27,-0.51
348,2022-02-16,4455.75,4475.0,4489.54,0,-0.51,0.33
349,2022-02-15,4429.27,4471.06,4472.77,1,0.33,-0.44
350,2022-02-14,4412.6,4401.66,4426.22,0,-0.44,-0.9400000000000001
351,2022-02-11,4506.27,4418.64,4526.33,1,-0.9400000000000001,0.38
352,2022-02-10,4553.24,4504.08,4588.91,0,0.38,0.57
353,2022-02-09,4547.0,4587.18,4590.02,1,0.57,0.98
354,2022-02-08,4480.02,4521.54,4531.31,0,0.98,0.32
355,2022-02-07,4505.75,4483.87,4521.85,1,0.32,1.3877787807814457e-17
